Kode_Promo|TanggalPromo|AREAID|Distributor_ID|Distributor_Name|GroupPromo_ID|PromoType_ID|ClassPromo_ID|COA|TITLE|Tgl_Awal|Tgl_AKhir|Total_sales_TaRGET|Background|promo_mechanisme|claim_mechanisme|claimtradeoff|costofpromo|Type_of_Cost|cost_rasio|status|Complete|tanggal_reco|Jenis_Biaya|Created_by|last_update|Approval1|Approval2|Tgl_approval2|Close|Partial_amount|Kode_budget|alokasi|Value|GroupOutlet_ID|sales_Target|KdPrincipal|level2Name
BP16020072|2016-02-01 00:00:00|NO DATA|Nasional|Nasional|Nasional|MTI|TP LOKAL|601.5101|Program Merchandiser Morinaga Kino Indonesia untuk MTI Pareto Jambi |2016-01-01 00:00:00|2016-03-31 00:00:00|0|Mendorong Selling Out dan Distribusi Produk|1  Program Merchandiser Morinaga Kino Indonesia untuk MTI Pareto Jambi Periode	   :  1 Januari -31 Maret  2016Mekanisme Pelaksanaan :1Merchandiser akan menerima barang yang di   masuk di Grup Trona dan MTI lainnya2Outlet akan memberikan display untuk all produk MKI3Merchandiser memajang all produk MKI sesuai dengan planogramEstimasi Biaya  :Gaji  Merchandiser  sesuai  UMP   	 :  Rp 1710000,-Uang Makan Rp10000/hari X 25 HK	 :  Rp     250000,-Transportasi Rp 10000/hari X 25 HK	 :  Rp     250000,-Grand Total                                                    :  Rp  2210000,-Estimasi Omset  :BEVERAGE  Rata – rata penjualan 3LM  Rp 70858988,-  , Estimasi Omset  Jan – Mar ’16  Rp 9211668402,-CANDY Rata – rata penjualan 3LM  Rp 23622465,-  , Estimasi Omset  Jan – Mar ’16  Rp 3070920468,-SNACKRata – rata penjualan 3LM  Rp 31869450,-  , Estimasi Omset  Jan – Mar ’16  Rp 4143028485,-TOTAL  Rata – rata penjualan 3LM  Rp 126350903,-  , Estimasi Omset  Jan – Mar ’16  Rp 164256174,-Mekanisme Klaim :1 Melampirkan Surat Program 2 Melampirkan Absensi dan Daftar Kunjungan Merchandiser ke Outlet 3 Subdist terlebih dahulu membayarkan kepada Merchandiser pada saat periode program berakhir kemudian di klaim ke DLS 4 Batas Akhir Klaim ke DLS Mei 2016|TRANSFER|Uang|221000000|NO DATA|221000000.000000|Approved||2016-02-01 00:00:00|J|Gladys.Citra|Gladys.Citra|||2016-02-01 12:51:00|0|0|BD1601000|100|2210000.00||0|MKI|SALES MKI
BP16020076|2016-02-01 00:00:00|NO DATA|Nasional|Nasional|Nasional|SALES MT NONDLS|TP LOKAL|601.5101|PARTISIPASI PROGRAM LAMPION IMLEK CHINESE NEW YEAR-ADA SWALAYAN, BOGOR|2016-02-01 00:00:00|2016-02-29 00:00:00|0||Sehubungan dalam rangka menyambut Chinese New Year 2567 yang jatuh pada tanggal 8 Febuari, maka Pasar Swalayan ADA Bogor berpartisipasi dalam acara pemasangan lampion di Pasar Swalayan ADA Bogor Selain guna memeriahkan perayaan Chinese New Year, pemasangan lampion ini juga menjadi kesempatan promosi bagi Bapak/ Ibu dengan pencantuman logo perusahaan/logo produk/Ibu pada lampion yang terpasang di ADA Swalayan Bogor PROGRAM : PEMASANGAN LAMPION CHINESE NEW YEARWaktu Program : 1-29 Febuari 2016Biaya Partisipasi : Pilihan A - Rp 150,000 - / lampion		            Pilihan B- Rp 500,000- / 4 lampion Baik untuk pilihan A atau B lokasi pemasangan lampion di area Lt 1 dan Lt 2Logo Partisipan : Full Color|TRANSFER|Uang|15000000|NO DATA|15000000.000000|Approved|All|2016-02-01 00:00:00|J|Gladys.Citra|Gladys.Citra|||2016-02-01 13:36:00|0|0|BD1601000|100|150000.00||0|MKI|SALES MKI
BP16020074|2016-02-01 00:00:00|NO DATA|1043042|DUTA LESTARI SENTRATAMA, PT - SEMARANG|Distributor|SALES MT DLS|TP LOKAL|601.5101|PROGRAM FREE GOOD 20+1 INDOGROSIR|2015-12-23 00:00:00|2015-12-31 00:00:00|0|PUSH OMSET|PROGRAM  FREE GOOD 20+1 INDOGROSIRPROGRAM BERLAKU RUNNING RATENO PROPOSAL: PROPSMG-428/MT/DLS-MKI/XII/2015NO RECCO: RC/MKI/MKT/MT/15122004|TRANSFER|Barang|99638400|NO DATA|99638400.000000|Approved|WISNU SAMUDRA|2016-02-01 00:00:00|J|Melia|Gladys.Citra|ROBIN M YUANA|WISNU SAMUDRA|2016-02-01 13:56:00|0|0|BD1601000|100|996384.00||0|MKI|SALES MKI
BP16020315|2016-02-02 00:00:00|NO DATA|1043044|DUTA LESTARI SENTRATAMA, PT - SURABAYA 1|Distributor|SALES MT DLS|TP LOKAL|601.5101|PROGRAM FREE GOOD CANDY 25 CTN FREE 1 CTN DI MTI  - DLS SURABAYA 1 (PROPSBY1-01/MOD/DLS/I/16)|2016-01-01 00:00:00|2016-01-31 00:00:00|0|DISTRIBUSI PRODUK CANDY MKI|1	Program Free Good Candy 25 Ctn , Free 1 Ctn di MTI –Dls Surabaya 12	Periode Program 1- 31 Januari 20163	Berlaku untuk outlet Karunia, Reni Katamso, Jago 1, Jago 2, Lestari Tropodo, Reni Bratang, Hengky Honawan4	Mekanisme Promo :-	ON Faktur-	Target mengikat in Carton-	Pengambilan Kino Candy 25 ctn free 1 ctn5	Cost Of Promo : Rp 7665006	No Proposal : PROPSBY1-01/MOD/DLS/I/167	No Reco : belum ada, input base on Surat pengajuan budget Januari-Februari 16 pak Sutoni ke pak Iwan TW tanggal 26 Januari 2016|TRANSFER|Barang|76650000|NO DATA|76650000.000000|Approved|NG HOK LUNG|2016-02-02 00:00:00|J|Evi.Farikah|Gladys.Citra|ROBIN|NG HOK LUNG|2016-02-02 18:45:00|0|0|BD1601000|100|766500.00||0|MKI|SALES MKI
BP16020360|2016-02-05 00:00:00|NO DATA|KA00038|AEON|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE CANDY AEON 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|21926685|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  CANDY|TRANSFER|Uang|1215200|NO DATA|.055400|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:22:00|0|0|BD1602000|100|12152.00||21926685|MKI|MODERN
BP16020386|2016-02-05 00:00:00|NO DATA|KA00038|AEON|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE CANDY Aeon 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|21926685|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  CANDY|TRANSFER|Uang|1215200|NO DATA|.055400|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:22:00|0|0|BD1602000|100|12152.00||21926685|MKI|MODERN
BP16020372|2016-02-05 00:00:00|NO DATA|KA00038|AEON|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE SNACKIT AEON 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|6148681|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  SNACKIT|TRANSFER|Uang|968700|NO DATA|.157500|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:24:00|0|0|BD1602000|100|9687.00||6148681|MKI|MODERN
BP16020400|2016-02-05 00:00:00|NO DATA|KA00038|AEON|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE SNACKIT Aeon 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|6148681|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  SNACKIT|TRANSFER|Uang|968700|NO DATA|.157500|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:24:00|0|0|BD1602000|100|9687.00||6148681|MKI|MODERN
BP16020361|2016-02-05 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE CANDY ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|505837736|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  CANDY|TRANSFER|Uang|56069900|NO DATA|.110800|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:22:00|0|0|BD1602000|100|560699.00||505837736|MKI|MODERN
BP16020387|2016-02-05 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE CANDY ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|505837736|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  CANDY|TRANSFER|Uang|28034900|NO DATA|.055400|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:22:00|0|0|BD1602000|100|280349.00||505837736|MKI|MODERN
BP16020420|2016-02-05 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|STORE FEE|601.4403|OPENING NEW STORE CANDY ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|505837736|TRADING TERM|BIAYA YANG DIKELUARKAN OLEH PERUSAHAAN BILA ACCOUNT MELAKUKAN OPENING NEW STORE ATAU RELAUNCH DAN TERTERA DALAM TRADING TERM  CANDY|TRANSFER|Uang|83333300|NO DATA|.164700|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:22:00|0|0|BD1602000|100|833333.00||505837736|MKI|MODERN
BP16020373|2016-02-05 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE SNACKIT ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|1216056054|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  SNACKIT|TRANSFER|Uang|134794400|NO DATA|.110800|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:24:00|0|0|BD1602000|100|1347944.00||1216056054|MKI|MODERN
BP16020401|2016-02-05 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE SNACKIT ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|1216056054|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  SNACKIT|TRANSFER|Uang|67397200|NO DATA|.055400|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:24:00|0|0|BD1602000|100|673972.00||1216056054|MKI|MODERN
BP16020431|2016-02-05 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|STORE FEE|601.4403|OPENING NEW STORE SNACKIT ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|1216056054|TRADING TERM|BIAYA YANG DIKELUARKAN OLEH PERUSAHAAN BILA ACCOUNT MELAKUKAN OPENING NEW STORE ATAU RELAUNCH DAN TERTERA DALAM TRADING TERM  SNACKIT|TRANSFER|Uang|125000000|NO DATA|.102700|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:24:00|0|0|BD1602000|100|1250000.00||1216056054|MKI|MODERN
BP16020362|2016-02-05 00:00:00|NO DATA|KA00003|CARREFOUR|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE CANDY CARREFOUR 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|871054761|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  CANDY|TRANSFER|Uang|413758000|NO DATA|.475000|Approved|SAPTA|2016-02-02 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-05 14:22:00|0|0|BD1602000|100|4137580.00||871054761|MKI|MODERN
